Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
MANDRAGORA ROLANDO,81,6.73,6.31,6.25,24,6.73,4.25,11/20,3/5,0/3,CEN,"['Titolare', 'Buona Media', 'Goleador', 'Piazzati']",60,40,True,False,False,Fiorentina,UP,24
EDERSON DOS SANTOS,83,6.53,6.59,6.00,34,6.53,5.84,30+,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",60,80,True,False,False,Atalanta,DOWN,34
DE BRUYNE KEVIN,81,nd,nd,nd,28,0.00,0.00,11/20,4/7,4/7,CEN,"['Fuoriclasse', 'Titolare', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati']",60,40,False,True,False,Napoli,STABLE,0
DE ROON MARTEN,84,6.60,5.97,6.26,34,6.60,5.91,30+,0/3,3/5,CEN,"['Titolare', 'Buona Media']",60,80,True,False,False,Atalanta,UP,34
GUENDOUZI MATTEO,80,6.10,6.21,nd,35,6.10,5.62,21/30,3/5,3/5,CEN,"['Outsider', 'Titolare', 'Goleador', 'Assistman', 'Falloso']",60,60,False,False,False,Lazio,DOWN,35
SAELEMAEKERS ALEXIS,82,7.36,6.54,6.17,22,7.36,4.26,21/30,4/7,3/5,CEN,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",60,80,True,True,False,Milan,UP,22
KOOPMEINERS TEUN,81,6.41,7.63,7.14,27,6.41,4.55,21/30,4/7,4/7,CEN,"['Titolare', 'Buona Media', 'Piazzati', 'Falloso']",60,60,False,False,False,Juventus,DOWN,27
THURAM KHEPHREN,79,6.75,nd,nd,32,6.75,5.68,21/30,0/3,0/3,CEN,"['Titolare', 'Buona Media', 'Falloso']",60,80,False,False,False,Juventus,STABLE,32
MKHITARYAN HENRIKH,79,6.34,6.70,6.39,29,6.34,4.84,21/30,4/7,8/11,CEN,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Assistman']",60,40,False,False,False,Inter,DOWN,29
CRISTANTE BRYAN,79,6.63,6.37,5.89,27,6.63,4.71,21/30,3/5,3/5,CEN,"['Titolare', 'Buona Media']",40,60,False,False,False,Roma,UP,27
